Id,Lang,Sentence_Text,Letters,Words,Num_Sentences,flesch
33,en,One-to-one scale copy of the Shroud on canvas: details can be appreciated in a way very close to direct observation.,93,20,1,34.26
34,en,"In the reconstruction of the Shroud's history, the passages from Jerusalem to Edessa (now Sanliurfa in Turkey), and from there to Constantinople and Athens in Greece during the period of the Latin Empire of the East, are currently hypothetical.",199,39,1,13.23
35,en,"While those from Lirey, France, to Chambéry, Savoy, and to Turin are precisely documented.",72,14,1,47.6
36,en,"In the following display cases, you can follow the development of these routes.",65,13,1,50.47
37,en,Two eighteenth-century reliquaries containing a small thread of the Shroud along with others containing fabrics that came into contact with the sacred Cloth.,133,23,1,36.36
38,en,"In fifteen hundred and six, Pope Julius II granted public cult of the Shroud, fixing its feast day on May 4 and approving the Mass and Office, the text of which—in a seventeenth-century edition—is displayed in this case.",175,38,1,36.91
39,en,"In 1453, the last descendant of Geoffroy de Charny, Marguerite, cedes the Shroud to the House of Savoy.",78,18,1,61.67
40,en,"Regarding the oldest period of the Shroud's history, a hypothesis still being studied today identifies the Shroud of Turin with the Mandylion of Edessa, a small cloth known since the 4th century in the East containing the image, believed to be miraculously imprinted, of the face of Christ.",236,48,1,13.59
41,en,One of the historical problems on which research focuses concerns the possible events of the Shroud in the first millennium.,104,20,1,46.95
42,en,"If the Shroud can be identified with the Mandylion of Edessa, then it would have been transferred to Constantinople in nine hundred and forty-four, and from there, through unclear routes, it would have reached Europe.",177,35,1,38.37
43,en,This display case contains some objects and documents that could support this thesis.,72,13,1,63.49
44,en,"In 1578, Emmanuel Philibert of Savoy, after moving the political and administrative center of the State from Chambéry to Turin, also wanted to bring the religious palladium of the dynasty, the Shroud.",160,32,1,18.37
45,en,"The Cloth made the journey folded several times inside this small wooden chest, which in ancient times must have been covered with precious scales, perhaps mother-of-pearl and tortoiseshell.",158,28,1,45.47
46,en,"With the granting of the official cult of the Shroud by Pope Julius II in fifteen hundred and six, which fixed the feast day for May 4, the fame and devotion toward the relic grew, also as a consequence of the periodic exhibitions held in Chambéry.",198,46,1,38.76
47,en,The seventeenth and eighteenth centuries are the centuries in which devotion to the Shroud developed most extensively.,101,17,1,30.33
48,en,Numerous representations were produced and circulated.,48,6,1,-24.85
49,en,"In 1735, the construction of the church of the Confraternity of the Most Holy Shroud, located above this crypt, was completed.",98,21,1,52.58
50,en,"Between the sixteenth and seventeenth centuries, more than 100 texts entirely dedicated to or otherwise dealing with the Shroud were written and published.",128,23,1,32.68
51,en,"From the second half of the eighteenth century, exhibitions began to become rarer.",68,13,1,43.96
52,en,"In the nineteenth century, after the reign of Charles Felix, exhibitions became even rarer, occurring only for dynastic weddings.",107,19,1,27.26
53,en,The Shroud is not the only image of Christ to have been an object of devotion in Europe since the Middle Ages.,88,22,1,69.14
54,en,"From the Veronica to the Mandylion to the Shroud of Besançon, other venerated images believed to be of Christ are remembered through the centuries.",122,24,1,34.43
55,en,"Of all of them, the only one that has stood the test of critical scrutiny due to its unique characteristics is the Shroud of Turin.",105,25,1,59.64
56,en,"In this display case, you can admire a beautiful depiction of the Deposition from the Cross with the exhibition of the Shroud.",103,22,1,49.91
57,en,"On the sides, in monochrome, are the instruments of the Passion presented by angels.",68,14,1,47.6
58,en,It is a work from the beginning of the seventeenth century painted on silk by Giovanni Battista Della Rovere.,90,19,1,36.16
59,en,"The iconography of the burial in the Shroud, of which you have already seen an enlargement.",74,16,1,47.83
60,en,"The purpose of the Confraternity, the creator of the Museum, has been since its origins to spread the cult and knowledge of the Shroud.",109,24,1,59.1
61,en,"In the glass case, you can observe the precious wooden chest, covered with silver leaf and studded with semi-precious stones and enamels, in which the Shroud was kept rolled up from the end of the 16th century until nineteen ninety-eight.",191,40,1,41.45
62,en,The lid is made of wood covered with fabric.,35,9,1,94.3
63,en,"It is a precious work commissioned by the House of Savoy, which over time has undergone some additions and modifications that, however, have not altered its original layout.",142,28,1,36.41
64,en,"Below the case are displayed the accessories used for the conservation of the Shroud inside the chest, which were removed when the new conservation system was adopted.",139,27,1,44.7
65,en,The silk-covered wooden roller on which the sheet was rolled and the pads that were inserted between the roller and the fabric are visible.,114,24,1,55.58
66,en,Seven solemn exhibitions have been held from the twentieth century to the present.,69,13,1,43.96
67,en,"The first took place in 1931, on the occasion of the wedding of the future King Umberto II.",68,18,1,75.77
68,en,"In 1933, another followed to celebrate the Holy Year of Redemption.",51,11,1,49.54
69,en,"In 1973, a televised exhibition was held instead.",36,8,1,50.67
70,en,"In 1978, the event commemorated the four-hundredth anniversary of the Shroud's arrival in Turin.",75,14,1,23.43
71,en,The 1998 exhibition commemorated several anniversaries of Piedmontese religious history and the centenary of the first photograph of the Cloth.,119,20,1,0.42
72,en,"In 2000, the Great Jubilee was celebrated, and finally, the list concludes with the exhibition of 2010.",75,17,1,50.24
73,en,One can see how the Shroud is preserved laid flat in a large controlled-atmosphere case.,72,15,1,61.89
74,en,The statue was created in nineteen ninety-eight by the sculptor Luigi Mattei.,64,12,1,32.5
75,en,"In this niche is displayed the camera that belonged to the lawyer from Asti, Secondo Pia, with which he took the first photographs of the Shroud on May 25 and 28, eighteen ninety-eight.",144,33,1,52.85
76,en,It is a device specially built for Pia by a Turin craftsman in order to take large-format photographs.,83,18,1,47.56
77,en,"Photograph of the Shroud’s altar in the Cathedral during the exhibition of eighteen ninety-eight, taken by Secondo Pia.",98,18,1,28.77
78,en,Enlargement of the face in photographic negative.,42,7,1,18.44
79,en,This niche displays several works by artists inspired by the face of the Man of the Shroud.,74,17,1,80.1
80,en,These are works produced from nineteen thirty-one to the present day.,57,11,1,64.92
81,en,"At the center is the evocative work 'Resurrection' by the young contemporary Polish artist Bartosz Keska from Zakopane, which captures the moment of Christ's return to life, expressed by the intensely luminous silhouette that comes to life beneath the Shroud.",214,40,1,18.19
82,en,"The publication of the results of Pia's photographs caused a renewed interest in the Shroud, but also many controversies.",100,19,1,45.07
83,en,The Shroud presents two types of impressions: bloodstains and body marks.,61,11,1,72.62
84,en,"Reproduction of a helmet of thorny branches, which remains the most credited hypothesis for the Crown of Thorns in the narrative.",107,21,1,40.49
85,en,One can recognize the fracture of the nose and a hematoma on the right cheekbone.,66,15,1,61.89
86,en,"On the forehead, blood flows are evident, caused by a helmet of thorny branches, like the one displayed alongside.",92,19,1,53.97
87,en,"Secondo Pia, born in 1855 and died in nineteen forty-one, was one of the greatest photographers of the nineteenth century.",95,20,1,46.95
88,en,This display case documents the operations for the conservation of the Shroud carried out in June-July two thousand and two.,103,20,1,42.72
89,en,"On the left wrist, a trickle of blood is visible, having flowed from a wound caused by the penetration of a nail.",89,22,1,72.99
90,en,"Displayed alongside are three eighteenth-century nails reconstructed in imitation of those used for crucifixions in Roman times, forged probably including some fragments of nails believed to be original, as shown by the hanging seals.",197,34,1,18.05
91,en,Conservation operations in the two thousands.,39,6,1,17.45
92,en,"On April 21, 1988, fabric samples were taken from the Shroud to be subjected to dating using the radiocarbon method at the laboratories of Oxford, Zurich, and Tucson.",128,28,1,39.43
93,en,Studies of the image of the Shroud with the aid of computers are represented.,63,14,1,65.73
94,en,This display case illustrates the study of the various traces present on the Shroud.,70,14,1,59.68
95,en,"Some marks are due to burns, wax, and water.",33,9,1,103.7
96,en,"Other traces derive from the contact of the sheet with the body, such as blood, serum, and skin cells.",80,19,1,76.23
97,en,"Furthermore, the preservative substances used are analyzed, including aloe and myrrh.",72,11,1,3.4
98,en,"Finally, the dust that has deposited on the fabric over the centuries is examined.",67,14,1,35.51
99,en,Reconstruction of a loom of the period.,32,7,1,66.79
100,en,"Scale reconstruction of a first-century Jewish tomb, set against a floor plan of the Basilica of the Holy Sepulchre in Jerusalem during the Crusader period.",129,25,1,25.8
101,en,Blessed Sebastiano Valfrè.,23,3,1,34.59
102,en,Saint Francis de Sales.,19,4,1,75.88
103,en,Pope Pius Seventh.,15,3,1,62.79
104,en,"In this display case, you can see some fragments of the fabrics that protected the Shroud over time inside the chest in which it was kept, distributed as 'contact' relics and accompanied by an authentication certificate testifying to their actual contact with the Shroud.",223,44,1,21.82
105,en,"Certain objects that came into contact with the Cloth, such as one of the pins used to secure the Shroud during the 1868 exhibition displayed here, were also religiously preserved and passed down.",157,33,1,47.72
106,en,One-to-one scale copy of the Shroud on canvas: details can be appreciated in a way very close to direct observation.,93,20,1,34.26
107,en,"In the reconstruction of the Shroud's history, the passages from Jerusalem to Edessa (now Sanliurfa in Turkey), and from there to Constantinople and Athens in Greece during the period of the Latin Empire of the East, are currently hypothetical.",199,39,1,13.23
108,en,"While those from Lirey, France, to Chambéry, Savoy, and to Turin are precisely documented.",72,14,1,47.6
109,en,"In the following display cases, you can follow the development of these routes.",65,13,1,50.47
110,en,Two eighteenth-century reliquaries containing a small thread of the Shroud along with others containing fabrics that came into contact with the sacred Cloth.,133,23,1,36.36
111,en,"In fifteen hundred and six, Pope Julius II granted public cult of the Shroud, fixing its feast day on May 4 and approving the Mass and Office, the text of which—in a seventeenth-century edition—is displayed in this case.",175,38,1,36.91
112,en,"In 1453, the last descendant of Geoffroy de Charny, Marguerite, cedes the Shroud to the House of Savoy.",78,18,1,61.67
113,en,"Regarding the oldest period of the Shroud's history, a hypothesis still being studied today identifies the Shroud of Turin with the Mandylion of Edessa, a small cloth known since the 4th century in the East containing the image, believed to be miraculously imprinted, of the face of Christ.",236,48,1,13.59
114,en,One of the historical problems on which research focuses concerns the possible events of the Shroud in the first millennium.,104,20,1,46.95
115,en,"If the Shroud can be identified with the Mandylion of Edessa, then it would have been transferred to Constantinople in nine hundred and forty-four, and from there, through unclear routes, it would have reached Europe.",177,35,1,38.37
116,en,This display case contains some objects and documents that could support this thesis.,72,13,1,63.49
117,en,"In 1578, Emmanuel Philibert of Savoy, after moving the political and administrative center of the State from Chambéry to Turin, also wanted to bring the religious palladium of the dynasty, the Shroud.",160,32,1,18.37
118,en,"The Cloth made the journey folded several times inside this small wooden chest, which in ancient times must have been covered with precious scales, perhaps mother-of-pearl and tortoiseshell.",158,28,1,45.47
119,en,"With the granting of the official cult of the Shroud by Pope Julius II in fifteen hundred and six, which fixed the feast day for May 4, the fame and devotion toward the relic grew, also as a consequence of the periodic exhibitions held in Chambéry.",198,46,1,38.76
120,en,The seventeenth and eighteenth centuries are the centuries in which devotion to the Shroud developed most extensively.,101,17,1,30.33
121,en,Numerous representations were produced and circulated.,48,6,1,-24.85
122,en,"In 1735, the construction of the church of the Confraternity of the Most Holy Shroud, located above this crypt, was completed.",98,21,1,52.58
123,en,"Between the sixteenth and seventeenth centuries, more than 100 texts entirely dedicated to or otherwise dealing with the Shroud were written and published.",128,23,1,32.68
124,en,"From the second half of the eighteenth century, exhibitions began to become rarer.",68,13,1,43.96
125,en,"In the nineteenth century, after the reign of Charles Felix, exhibitions became even rarer, occurring only for dynastic weddings.",107,19,1,27.26
126,en,The Shroud is not the only image of Christ to have been an object of devotion in Europe since the Middle Ages.,88,22,1,69.14
127,en,"From the Veronica to the Mandylion to the Shroud of Besançon, other venerated images believed to be of Christ are remembered through the centuries.",122,24,1,34.43
128,en,"Of all of them, the only one that has stood the test of critical scrutiny due to its unique characteristics is the Shroud of Turin.",105,25,1,59.64
129,en,"In this display case, you can admire a beautiful depiction of the Deposition from the Cross with the exhibition of the Shroud.",103,22,1,49.91
130,en,"On the sides, in monochrome, are the instruments of the Passion presented by angels.",68,14,1,47.6
131,en,It is a work from the beginning of the seventeenth century painted on silk by Giovanni Battista Della Rovere.,90,19,1,36.16
132,en,"The iconography of the burial in the Shroud, of which you have already seen an enlargement.",74,16,1,47.83
133,en,"The purpose of the Confraternity, the creator of the Museum, has been since its origins to spread the cult and knowledge of the Shroud.",109,24,1,59.1
134,en,"In the glass case, you can observe the precious wooden chest, covered with silver leaf and studded with semi-precious stones and enamels, in which the Shroud was kept rolled up from the end of the 16th century until nineteen ninety-eight.",191,40,1,41.45
135,en,The lid is made of wood covered with fabric.,35,9,1,94.3
136,en,"It is a precious work commissioned by the House of Savoy, which over time has undergone some additions and modifications that, however, have not altered its original layout.",142,28,1,36.41
137,en,"Below the case are displayed the accessories used for the conservation of the Shroud inside the chest, which were removed when the new conservation system was adopted.",139,27,1,44.7
138,en,The silk-covered wooden roller on which the sheet was rolled and the pads that were inserted between the roller and the fabric are visible.,114,24,1,55.58
139,en,Seven solemn exhibitions have been held from the twentieth century to the present.,69,13,1,43.96
140,en,"The first took place in 1931, on the occasion of the wedding of the future King Umberto II.",68,18,1,75.77
141,en,"In 1933, another followed to celebrate the Holy Year of Redemption.",51,11,1,49.54
142,en,"In 1973, a televised exhibition was held instead.",36,8,1,50.67
143,en,"In 1978, the event commemorated the four-hundredth anniversary of the Shroud's arrival in Turin.",75,14,1,23.43
144,en,The 1998 exhibition commemorated several anniversaries of Piedmontese religious history and the centenary of the first photograph of the Cloth.,119,20,1,0.42
145,en,"In 2000, the Great Jubilee was celebrated, and finally, the list concludes with the exhibition of 2010.",75,17,1,50.24
146,en,One can see how the Shroud is preserved laid flat in a large controlled-atmosphere case.,72,15,1,61.89
147,en,The statue was created in nineteen ninety-eight by the sculptor Luigi Mattei.,64,12,1,32.5
148,en,"In this niche is displayed the camera that belonged to the lawyer from Asti, Secondo Pia, with which he took the first photographs of the Shroud on May 25 and 28, eighteen ninety-eight.",144,33,1,52.85
149,en,It is a device specially built for Pia by a Turin craftsman in order to take large-format photographs.,83,18,1,47.56
150,en,"Photograph of the Shroud’s altar in the Cathedral during the exhibition of eighteen ninety-eight, taken by Secondo Pia.",98,18,1,28.77
151,en,Enlargement of the face in photographic negative.,42,7,1,18.44
152,en,This niche displays several works by artists inspired by the face of the Man of the Shroud.,74,17,1,80.1
153,en,These are works produced from nineteen thirty-one to the present day.,57,11,1,64.92
154,en,"At the center is the evocative work 'Resurrection' by the young contemporary Polish artist Bartosz Keska from Zakopane, which captures the moment of Christ's return to life, expressed by the intensely luminous silhouette that comes to life beneath the Shroud.",214,40,1,18.19
155,en,"The publication of the results of Pia's photographs caused a renewed interest in the Shroud, but also many controversies.",100,19,1,45.07
156,en,The Shroud presents two types of impressions: bloodstains and body marks.,61,11,1,72.62
157,en,"Reproduction of a helmet of thorny branches, which remains the most credited hypothesis for the Crown of Thorns in the narrative.",107,21,1,40.49
158,en,One can recognize the fracture of the nose and a hematoma on the right cheekbone.,66,15,1,61.89
159,en,"On the forehead, blood flows are evident, caused by a helmet of thorny branches, like the one displayed alongside.",92,19,1,53.97
160,en,"Secondo Pia, born in 1855 and died in nineteen forty-one, was one of the greatest photographers of the nineteenth century.",95,20,1,46.95
161,en,This display case documents the operations for the conservation of the Shroud carried out in June-July two thousand and two.,103,20,1,42.72
162,en,"On the left wrist, a trickle of blood is visible, having flowed from a wound caused by the penetration of a nail.",89,22,1,72.99
163,en,"Displayed alongside are three eighteenth-century nails reconstructed in imitation of those used for crucifixions in Roman times, forged probably including some fragments of nails believed to be original, as shown by the hanging seals.",197,34,1,18.05
164,en,Conservation operations in the two thousands.,39,6,1,17.45
165,en,"On April 21, 1988, fabric samples were taken from the Shroud to be subjected to dating using the radiocarbon method at the laboratories of Oxford, Zurich, and Tucson.",128,28,1,39.43
166,en,Studies of the image of the Shroud with the aid of computers are represented.,63,14,1,65.73
167,en,This display case illustrates the study of the various traces present on the Shroud.,70,14,1,59.68
168,en,"Some marks are due to burns, wax, and water.",33,9,1,103.7
169,en,"Other traces derive from the contact of the sheet with the body, such as blood, serum, and skin cells.",80,19,1,76.23
170,en,"Furthermore, the preservative substances used are analyzed, including aloe and myrrh.",72,11,1,3.4
171,en,"Finally, the dust that has deposited on the fabric over the centuries is examined.",67,14,1,35.51
172,en,Reconstruction of a loom of the period.,32,7,1,66.79
173,en,"Scale reconstruction of a first-century Jewish tomb, set against a floor plan of the Basilica of the Holy Sepulchre in Jerusalem during the Crusader period.",129,25,1,25.8
174,en,Blessed Sebastiano Valfrè.,23,3,1,34.59
175,en,Saint Francis de Sales.,19,4,1,75.88
176,en,Pope Pius Seventh.,15,3,1,62.79
177,en,"In this display case, you can see some fragments of the fabrics that protected the Shroud over time inside the chest in which it was kept, distributed as 'contact' relics and accompanied by an authentication certificate testifying to their actual contact with the Shroud.",223,44,1,21.82
178,en,"Certain objects that came into contact with the Cloth, such as one of the pins used to secure the Shroud during the 1868 exhibition displayed here, were also religiously preserved and passed down.",157,33,1,47.72
179,en,One-to-one scale copy of the Shroud on canvas: details can be appreciated in a way very close to direct observation.,93,20,1,34.26
180,en,"In the reconstruction of the Shroud's history, the passages from Jerusalem to Edessa (now Sanliurfa in Turkey), and from there to Constantinople and Athens in Greece during the period of the Latin Empire of the East, are currently hypothetical.",199,39,1,13.23
181,en,"While those from Lirey, France, to Chambéry, Savoy, and to Turin are precisely documented.",72,14,1,47.6
182,en,"In the following display cases, you can follow the development of these routes.",65,13,1,50.47
183,en,Two eighteenth-century reliquaries containing a small thread of the Shroud along with others containing fabrics that came into contact with the sacred Cloth.,133,23,1,36.36
184,en,"In fifteen hundred and six, Pope Julius II granted public cult of the Shroud, fixing its feast day on May 4 and approving the Mass and Office, the text of which—in a seventeenth-century edition—is displayed in this case.",175,38,1,36.91
185,en,"In 1453, the last descendant of Geoffroy de Charny, Marguerite, cedes the Shroud to the House of Savoy.",78,18,1,61.67
186,en,"Regarding the oldest period of the Shroud's history, a hypothesis still being studied today identifies the Shroud of Turin with the Mandylion of Edessa, a small cloth known since the 4th century in the East containing the image, believed to be miraculously imprinted, of the face of Christ.",236,48,1,13.59
187,en,One of the historical problems on which research focuses concerns the possible events of the Shroud in the first millennium.,104,20,1,46.95
188,en,"If the Shroud can be identified with the Mandylion of Edessa, then it would have been transferred to Constantinople in nine hundred and forty-four, and from there, through unclear routes, it would have reached Europe.",177,35,1,38.37
189,en,This display case contains some objects and documents that could support this thesis.,72,13,1,63.49
190,en,"In 1578, Emmanuel Philibert of Savoy, after moving the political and administrative center of the State from Chambéry to Turin, also wanted to bring the religious palladium of the dynasty, the Shroud.",160,32,1,18.37
191,en,"The Cloth made the journey folded several times inside this small wooden chest, which in ancient times must have been covered with precious scales, perhaps mother-of-pearl and tortoiseshell.",158,28,1,45.47
192,en,"With the granting of the official cult of the Shroud by Pope Julius II in fifteen hundred and six, which fixed the feast day for May 4, the fame and devotion toward the relic grew, also as a consequence of the periodic exhibitions held in Chambéry.",198,46,1,38.76
193,en,The seventeenth and eighteenth centuries are the centuries in which devotion to the Shroud developed most extensively.,101,17,1,30.33
194,en,Numerous representations were produced and circulated.,48,6,1,-24.85
195,en,"In 1735, the construction of the church of the Confraternity of the Most Holy Shroud, located above this crypt, was completed.",98,21,1,52.58
196,en,"Between the sixteenth and seventeenth centuries, more than 100 texts entirely dedicated to or otherwise dealing with the Shroud were written and published.",128,23,1,32.68
197,en,"From the second half of the eighteenth century, exhibitions began to become rarer.",68,13,1,43.96
198,en,"In the nineteenth century, after the reign of Charles Felix, exhibitions became even rarer, occurring only for dynastic weddings.",107,19,1,27.26
199,en,The Shroud is not the only image of Christ to have been an object of devotion in Europe since the Middle Ages.,88,22,1,69.14
200,en,"From the Veronica to the Mandylion to the Shroud of Besançon, other venerated images believed to be of Christ are remembered through the centuries.",122,24,1,34.43
201,en,"Of all of them, the only one that has stood the test of critical scrutiny due to its unique characteristics is the Shroud of Turin.",105,25,1,59.64
202,en,"In this display case, you can admire a beautiful depiction of the Deposition from the Cross with the exhibition of the Shroud.",103,22,1,49.91
203,en,"On the sides, in monochrome, are the instruments of the Passion presented by angels.",68,14,1,47.6
204,en,It is a work from the beginning of the seventeenth century painted on silk by Giovanni Battista Della Rovere.,90,19,1,36.16
205,en,"The iconography of the burial in the Shroud, of which you have already seen an enlargement.",74,16,1,47.83
206,en,"The purpose of the Confraternity, the creator of the Museum, has been since its origins to spread the cult and knowledge of the Shroud.",109,24,1,59.1
207,en,"In the glass case, you can observe the precious wooden chest, covered with silver leaf and studded with semi-precious stones and enamels, in which the Shroud was kept rolled up from the end of the 16th century until nineteen ninety-eight.",191,40,1,41.45
208,en,The lid is made of wood covered with fabric.,35,9,1,94.3
209,en,"It is a precious work commissioned by the House of Savoy, which over time has undergone some additions and modifications that, however, have not altered its original layout.",142,28,1,36.41
210,en,"Below the case are displayed the accessories used for the conservation of the Shroud inside the chest, which were removed when the new conservation system was adopted.",139,27,1,44.7
211,en,The silk-covered wooden roller on which the sheet was rolled and the pads that were inserted between the roller and the fabric are visible.,114,24,1,55.58
212,en,Seven solemn exhibitions have been held from the twentieth century to the present.,69,13,1,43.96
213,en,"The first took place in 1931, on the occasion of the wedding of the future King Umberto II.",68,18,1,75.77
214,en,"In 1933, another followed to celebrate the Holy Year of Redemption.",51,11,1,49.54
215,en,"In 1973, a televised exhibition was held instead.",36,8,1,50.67
216,en,"In 1978, the event commemorated the four-hundredth anniversary of the Shroud's arrival in Turin.",75,14,1,23.43
217,en,The 1998 exhibition commemorated several anniversaries of Piedmontese religious history and the centenary of the first photograph of the Cloth.,119,20,1,0.42
218,en,"In 2000, the Great Jubilee was celebrated, and finally, the list concludes with the exhibition of 2010.",75,17,1,50.24
219,en,One can see how the Shroud is preserved laid flat in a large controlled-atmosphere case.,72,15,1,61.89
220,en,The statue was created in nineteen ninety-eight by the sculptor Luigi Mattei.,64,12,1,32.5
221,en,"In this niche is displayed the camera that belonged to the lawyer from Asti, Secondo Pia, with which he took the first photographs of the Shroud on May 25 and 28, eighteen ninety-eight.",144,33,1,52.85
222,en,It is a device specially built for Pia by a Turin craftsman in order to take large-format photographs.,83,18,1,47.56
223,en,"Photograph of the Shroud’s altar in the Cathedral during the exhibition of eighteen ninety-eight, taken by Secondo Pia.",98,18,1,28.77
224,en,Enlargement of the face in photographic negative.,42,7,1,18.44
225,en,This niche displays several works by artists inspired by the face of the Man of the Shroud.,74,17,1,80.1
226,en,These are works produced from nineteen thirty-one to the present day.,57,11,1,64.92
227,en,"At the center is the evocative work 'Resurrection' by the young contemporary Polish artist Bartosz Keska from Zakopane, which captures the moment of Christ's return to life, expressed by the intensely luminous silhouette that comes to life beneath the Shroud.",214,40,1,18.19
228,en,"The publication of the results of Pia's photographs caused a renewed interest in the Shroud, but also many controversies.",100,19,1,45.07
229,en,The Shroud presents two types of impressions: bloodstains and body marks.,61,11,1,72.62
230,en,"Reproduction of a helmet of thorny branches, which remains the most credited hypothesis for the Crown of Thorns in the narrative.",107,21,1,40.49
231,en,One can recognize the fracture of the nose and a hematoma on the right cheekbone.,66,15,1,61.89
232,en,"On the forehead, blood flows are evident, caused by a helmet of thorny branches, like the one displayed alongside.",92,19,1,53.97
233,en,"Secondo Pia, born in 1855 and died in nineteen forty-one, was one of the greatest photographers of the nineteenth century.",95,20,1,46.95
234,en,This display case documents the operations for the conservation of the Shroud carried out in June-July two thousand and two.,103,20,1,42.72
235,en,"On the left wrist, a trickle of blood is visible, having flowed from a wound caused by the penetration of a nail.",89,22,1,72.99
236,en,"Displayed alongside are three eighteenth-century nails reconstructed in imitation of those used for crucifixions in Roman times, forged probably including some fragments of nails believed to be original, as shown by the hanging seals.",197,34,1,18.05
237,en,Conservation operations in the two thousands.,39,6,1,17.45
238,en,"On April 21, 1988, fabric samples were taken from the Shroud to be subjected to dating using the radiocarbon method at the laboratories of Oxford, Zurich, and Tucson.",128,28,1,39.43
239,en,Studies of the image of the Shroud with the aid of computers are represented.,63,14,1,65.73
240,en,This display case illustrates the study of the various traces present on the Shroud.,70,14,1,59.68
241,en,"Some marks are due to burns, wax, and water.",33,9,1,103.7
242,en,"Other traces derive from the contact of the sheet with the body, such as blood, serum, and skin cells.",80,19,1,76.23
243,en,"Furthermore, the preservative substances used are analyzed, including aloe and myrrh.",72,11,1,3.4
244,en,"Finally, the dust that has deposited on the fabric over the centuries is examined.",67,14,1,35.51
245,en,Reconstruction of a loom of the period.,32,7,1,66.79
246,en,"Scale reconstruction of a first-century Jewish tomb, set against a floor plan of the Basilica of the Holy Sepulchre in Jerusalem during the Crusader period.",129,25,1,25.8
247,en,Blessed Sebastiano Valfrè.,23,3,1,34.59
248,en,Saint Francis de Sales.,19,4,1,75.88
249,en,Pope Pius Seventh.,15,3,1,62.79
250,en,"In this display case, you can see some fragments of the fabrics that protected the Shroud over time inside the chest in which it was kept, distributed as 'contact' relics and accompanied by an authentication certificate testifying to their actual contact with the Shroud.",223,44,1,21.82
