Id,Sentence_Text,Letters,Words,Num_Sentences,Raw_Gulpease_index,Normalized_Gulpease_index
16,Sul polso sinistro è visibile una colatura di sangue fuoriuscito da una ferita provocata dalla penetrazione di un chiodo.,102,19,1,51.11,51.11
17,"A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",219,35,1,35.0,35.0
18,Operazioni di conservazione anni 2000.,29,5,1,91.0,91.0
19,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,48.0
20,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,51.73
21,In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.,70,13,1,58.23,58.23
22," Alcuni segni sono dovuti a bruciature, cera e acqua.",42,9,1,75.67,75.67
23,"Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.",84,16,1,55.25,55.25
24,"Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.",69,12,1,56.5,56.5
25,"Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",72,15,1,61.0,61.0
26,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,85.0
27,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,50.54
28,Beato Sebastiano Valfrè.,21,3,1,119.0,100
29,San Francesco di Sales.,19,4,1,116.5,100
30,Papa Pio Ottavo.,13,3,1,145.67,100
31,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.",223,40,1,40.75,40.75
32,"Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",165,29,1,42.45,42.45
33,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,49.5
34,"Nella ricostruzione della storia della Sìndone, risultano per il momento ipotetici i passaggi da Gerusalemme a Edessa, oggi Sanliurfa in Turchia, e di qui a Costantinopoli e ad Atene in Grecia durante il periodo dell’Impero latino d’Oriente. ",199,37,1,43.32,43.32
35,"Mentre sono documentati con precisione quelli da Lirey, in  Francia, a Chambéry, in Savoia, e a Torino.",81,17,1,59.0,59.0
36,Nelle vetrine seguenti potrà seguire lo sviluppo di questi percorsi.,58,10,1,61.0,61.0
37,Due reliquiari settecenteschi contenenti un piccolo filo di Sìndone insieme ad altri contenenti stoffe venute a contatto con il sacro Telo.,118,21,1,47.1,47.1
38,"Nel 1506 il papa Giulio II concesse il culto pubblico della Sìndone, fissandone la memoria il 4 maggio e approvandone la messa e l’ufficio il cui testo in edizione seicentesca è esposto in questa vetrina.",162,35,1,51.29,51.29
39,"Nel 1453 l’ultima discendente di Geoffroy de Charny, Marguerite, cede la Sìndone ai Savoia.",70,14,1,60.43,60.43
40,"Relativamente al periodo più antico della storia della Sìndone, un’ipotesi che ancora oggi si sta studiando, identifica la Sìndone di Torino con il Mandylion di Edessa, un piccolo telo conosciuto sin dal IV secolo in Oriente contenente l’immagine, ritenuta impressa miracolosamente, del volto di Cristo.",251,45,1,39.89,39.89
41,Uno dei problemi storici su cui si incentra la ricerca riguarda le possibili vicende della Sìndone nel primo millennio.,100,19,1,52.16,52.16
42,"Se la Sìndone può essere identificata con il Mandylion di Edessa, allora essa sarebbe stata trasferita a Costantinopoli nel 944, e di qui, attraverso strade non chiarite, sarebbe giunta in Europa.",158,31,1,47.71,47.71
43,In questa vetrina sono esposti alcuni oggetti e documenti che potrebbero sostenere questa tesi.,81,14,1,52.57,52.57
44,"Nel 1578 Emanuele Filiberto di Savoia, dopo avere spostato il centro politico e amministrativo dello Stato da Chambéry a Torino, volle anche portare il palladio religioso della dinastia, la Sìndone.",161,30,1,45.33,45.33
45,"Il Telo compì il viaggio ripiegato più volte, dentro questa piccola cassa di legno, che anticamente doveva essere ricoperta di scaglie preziose, forse madreperla e tartaruga.",145,26,1,44.77,44.77
46,"Con la concessione del culto ufficiale della Sìndone da parte del papa Giulio II nel 1506, che ne fissò la festa il giorno 4 di maggio, la notorietà e la devozione verso la reliquia crebbero, anche in conseguenza delle ostensioni periodiche celebrate a Chambéry.",210,44,1,48.09,48.09
47,Il 600 e il 700 sono i secoli nei quali maggiormente si sviluppa la devozione alla Sìndone.,68,17,1,66.65,66.65
48,Numerose sono le raffigurazioni che vengono fatte prodotte e fatte circolare.,66,11,1,56.27,56.27
49,"Nel 1735 terminava la costruzione della chiesa della Confratèrnita del Santissimo Sudario, sovrastante questa cripta.",97,15,1,44.33,44.33
50,Tra il 500 e il 600 sono stati scritti e pubblicati più di 100 testi interamente dedicati o che comunque trattano della Sìndone.,96,23,1,60.3,60.3
51,Dalla seconda metà del 700 le ostensioni iniziano a rarefarsi.,49,10,1,70.0,70.0
52,"Nell'800, dopo il regno di Carlo Felice, le ostensioni diventano ancora più rare, e solo per matrimoni dinastici.",88,18,1,56.78,56.78
53,La Sìndone non è l’unica immagine di Cristo ad essere stata oggetto di devozione in Europa a partire dal Medioevo.,93,20,1,57.5,57.5
54,"Dalla Veronica, al Mandylion, alla Sìndone di Besançon, nei secoli sono ricordate altre venerate immagini ritenute di Cristo.",104,18,1,47.89,47.89
55,"Di tutte, l’unica che ha resistito al vaglio della critica per le sue particolari caratteristiche, è la Sìndone di Torino.",99,20,1,54.5,54.5
56,In questa vetrina può ammirare una bellissima raffigurazione della deposizione dalla croce con l’ostensione della Sìndone.,105,16,1,42.12,42.12
57,Ai lati in monocromo le insegne della Passione presentate da angeli.,57,11,1,64.45,64.45
58,Si tratta di un’opera dell’inizio del 600 dipinta su seta da Giovanni Battista Della Rovere.,72,15,1,61.0,61.0
59,"L’iconografia della sepoltura nella Sìndone, di cui ha già visto un ingrandimento.",68,12,1,57.33,57.33
60,"Lo scopo della Confratèrnita, ideatrice del Museo, è sin dalle origini quello di diffondere il culto e la conoscenza della Sìndone.",108,21,1,51.86,51.86
61,"Nella teca di vetro può osservare la preziosa cassa di legno, rivestita con lamina d’argento e tempestata di pietre dure e smalti, in cui è stata conservata, arrotolata, la Sìndone dalla fine del XVI secolo sino al 1998.",173,38,1,51.37,51.37
62,Il coperchio è in legno ricoperto di tessuto.,37,8,1,80.25,80.25
63,"Si tratta di preziosa opera di committenza sabauda, che nel tempo ha subito alcune integrazioni e modifiche che tuttavia non hanno alterato la sua impostazione originale.",143,26,1,45.54,45.54
64,"Sotto alla teca sono esposti gli accessori che servivano alla conservazione della Sìndone all’interno della cassetta, eliminati al momento in cui si è adottato il nuovo sistema di conservazione.",163,29,1,43.14,43.14
65,Sono visibili il rullo in legno rivestito di seta su cui veniva arrotolato il lenzuolo e cuscinetti che venivano inseriti tra il rullo e il tessuto.,122,26,1,53.62,53.62
66,Dal 900 a oggi sono state celebrate sette ostensioni solenni.,48,10,1,71.0,71.0
67,"La prima avvenne nel 1931, in occasione del matrimonio del futuro re Umberto II.",61,14,1,66.86,66.86
68,Nel 1933 ne seguì un'altra per celebrare l’Anno Santo della Redenzione.,54,11,1,67.18,67.18
69,Nel 1973 si tenne invece un’ostensione televisiva.,38,7,1,77.57,77.57
70,Nel 1978 l'evento ricordò il quattrocentesimo anniversario dell’arrivo della Sìndone a Torino.,76,12,1,50.67,50.67
71,L'ostensione del 1998 commemorò alcune ricorrenze della storia religiosa piemontese e il centenario della prima fotografia del Telo.,109,18,1,45.11,45.11
72,"Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",67,16,1,65.88,65.88
73,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.67,63.67
74,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,69.91
75,In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.,143,30,1,51.33,51.33
76,Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.,115,22,1,50.36,50.36
77,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,47.67
78,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,69.0
79,In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.,89,15,1,49.67,49.67
80,Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.,52,13,1,72.08,72.08
81,"Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",212,39,1,42.33,42.33
82,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,44.0
83,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,68.0
84,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,53.44
85,Si può riconoscere la frattura del naso e un ematoma allo zigomo destro.,59,13,1,66.69,66.69
86,"Sulla fronte sono evidenti delle colature di sangue provocate da un casco di rami spinosi, come quello esposto a fianco.",99,20,1,54.5,54.5
87,"Secondo Pia, nato nel 1855 e morto nel 1941, fu uno dei più grandi fotografi dell’800.",56,16,1,72.75,72.75
88,In questa vetrina sono documentate le operazioni per la conservazione della Sìndone compiute nel giugno-luglio 2002.,95,16,1,48.38,48.38
89,Sul polso sinistro è visibile una colatura di sangue fuoriuscito da una ferita provocata dalla penetrazione di un chiodo.,102,19,1,51.11,51.11
90,"A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",219,35,1,35.0,35.0
91,Operazioni di conservazione anni 2000.,29,5,1,91.0,91.0
92,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,48.0
93,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,51.73
94,In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.,70,13,1,58.23,58.23
95," Alcuni segni sono dovuti a bruciature, cera e acqua.",42,9,1,75.67,75.67
96,"Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.",84,16,1,55.25,55.25
97,"Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.",69,12,1,56.5,56.5
98,"Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",72,15,1,61.0,61.0
99,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,85.0
100,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,50.54
101,Beato Sebastiano Valfrè.,21,3,1,119.0,100
102,San Francesco di Sales.,19,4,1,116.5,100
103,Papa Pio Ottavo.,13,3,1,145.67,100
104,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.",223,40,1,40.75,40.75
105,"Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",165,29,1,42.45,42.45
106,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,49.5
107,"Nella ricostruzione della storia della Sìndone, risultano per il momento ipotetici i passaggi da Gerusalemme a Edessa, oggi Sanliurfa in Turchia, e di qui a Costantinopoli e ad Atene in Grecia durante il periodo dell’Impero latino d’Oriente. ",199,37,1,43.32,43.32
108,"Mentre sono documentati con precisione quelli da Lirey, in  Francia, a Chambéry, in Savoia, e a Torino.",81,17,1,59.0,59.0
109,Nelle vetrine seguenti potrà seguire lo sviluppo di questi percorsi.,58,10,1,61.0,61.0
110,Due reliquiari settecenteschi contenenti un piccolo filo di Sìndone insieme ad altri contenenti stoffe venute a contatto con il sacro Telo.,118,21,1,47.1,47.1
111,"Nel 1506 il papa Giulio II concesse il culto pubblico della Sìndone, fissandone la memoria il 4 maggio e approvandone la messa e l’ufficio il cui testo in edizione seicentesca è esposto in questa vetrina.",162,35,1,51.29,51.29
112,"Nel 1453 l’ultima discendente di Geoffroy de Charny, Marguerite, cede la Sìndone ai Savoia.",70,14,1,60.43,60.43
113,"Relativamente al periodo più antico della storia della Sìndone, un’ipotesi che ancora oggi si sta studiando, identifica la Sìndone di Torino con il Mandylion di Edessa, un piccolo telo conosciuto sin dal IV secolo in Oriente contenente l’immagine, ritenuta impressa miracolosamente, del volto di Cristo.",251,45,1,39.89,39.89
114,Uno dei problemi storici su cui si incentra la ricerca riguarda le possibili vicende della Sìndone nel primo millennio.,100,19,1,52.16,52.16
115,"Se la Sìndone può essere identificata con il Mandylion di Edessa, allora essa sarebbe stata trasferita a Costantinopoli nel 944, e di qui, attraverso strade non chiarite, sarebbe giunta in Europa.",158,31,1,47.71,47.71
116,In questa vetrina sono esposti alcuni oggetti e documenti che potrebbero sostenere questa tesi.,81,14,1,52.57,52.57
117,"Nel 1578 Emanuele Filiberto di Savoia, dopo avere spostato il centro politico e amministrativo dello Stato da Chambéry a Torino, volle anche portare il palladio religioso della dinastia, la Sìndone.",161,30,1,45.33,45.33
118,"Il Telo compì il viaggio ripiegato più volte, dentro questa piccola cassa di legno, che anticamente doveva essere ricoperta di scaglie preziose, forse madreperla e tartaruga.",145,26,1,44.77,44.77
119,"Con la concessione del culto ufficiale della Sìndone da parte del papa Giulio II nel 1506, che ne fissò la festa il giorno 4 di maggio, la notorietà e la devozione verso la reliquia crebbero, anche in conseguenza delle ostensioni periodiche celebrate a Chambéry.",210,44,1,48.09,48.09
120,Il 600 e il 700 sono i secoli nei quali maggiormente si sviluppa la devozione alla Sìndone.,68,17,1,66.65,66.65
121,Numerose sono le raffigurazioni che vengono fatte prodotte e fatte circolare.,66,11,1,56.27,56.27
122,"Nel 1735 terminava la costruzione della chiesa della Confratèrnita del Santissimo Sudario, sovrastante questa cripta.",97,15,1,44.33,44.33
123,Tra il 500 e il 600 sono stati scritti e pubblicati più di 100 testi interamente dedicati o che comunque trattano della Sìndone.,96,23,1,60.3,60.3
124,Dalla seconda metà del 700 le ostensioni iniziano a rarefarsi.,49,10,1,70.0,70.0
125,"Nell'800, dopo il regno di Carlo Felice, le ostensioni diventano ancora più rare, e solo per matrimoni dinastici.",88,18,1,56.78,56.78
126,La Sìndone non è l’unica immagine di Cristo ad essere stata oggetto di devozione in Europa a partire dal Medioevo.,93,20,1,57.5,57.5
127,"Dalla Veronica, al Mandylion, alla Sìndone di Besançon, nei secoli sono ricordate altre venerate immagini ritenute di Cristo.",104,18,1,47.89,47.89
128,"Di tutte, l’unica che ha resistito al vaglio della critica per le sue particolari caratteristiche, è la Sìndone di Torino.",99,20,1,54.5,54.5
129,In questa vetrina può ammirare una bellissima raffigurazione della deposizione dalla croce con l’ostensione della Sìndone.,105,16,1,42.12,42.12
130,Ai lati in monocromo le insegne della Passione presentate da angeli.,57,11,1,64.45,64.45
131,Si tratta di un’opera dell’inizio del 600 dipinta su seta da Giovanni Battista Della Rovere.,72,15,1,61.0,61.0
132,"L’iconografia della sepoltura nella Sìndone, di cui ha già visto un ingrandimento.",68,12,1,57.33,57.33
133,"Lo scopo della Confratèrnita, ideatrice del Museo, è sin dalle origini quello di diffondere il culto e la conoscenza della Sìndone.",108,21,1,51.86,51.86
134,"Nella teca di vetro può osservare la preziosa cassa di legno, rivestita con lamina d’argento e tempestata di pietre dure e smalti, in cui è stata conservata, arrotolata, la Sìndone dalla fine del XVI secolo sino al 1998.",173,38,1,51.37,51.37
135,Il coperchio è in legno ricoperto di tessuto.,37,8,1,80.25,80.25
136,"Si tratta di preziosa opera di committenza sabauda, che nel tempo ha subito alcune integrazioni e modifiche che tuttavia non hanno alterato la sua impostazione originale.",143,26,1,45.54,45.54
137,"Sotto alla teca sono esposti gli accessori che servivano alla conservazione della Sìndone all’interno della cassetta, eliminati al momento in cui si è adottato il nuovo sistema di conservazione.",163,29,1,43.14,43.14
138,Sono visibili il rullo in legno rivestito di seta su cui veniva arrotolato il lenzuolo e cuscinetti che venivano inseriti tra il rullo e il tessuto.,122,26,1,53.62,53.62
139,Dal 900 a oggi sono state celebrate sette ostensioni solenni.,48,10,1,71.0,71.0
140,"La prima avvenne nel 1931, in occasione del matrimonio del futuro re Umberto II.",61,14,1,66.86,66.86
141,Nel 1933 ne seguì un'altra per celebrare l’Anno Santo della Redenzione.,54,11,1,67.18,67.18
142,Nel 1973 si tenne invece un’ostensione televisiva.,38,7,1,77.57,77.57
143,Nel 1978 l'evento ricordò il quattrocentesimo anniversario dell’arrivo della Sìndone a Torino.,76,12,1,50.67,50.67
144,L'ostensione del 1998 commemorò alcune ricorrenze della storia religiosa piemontese e il centenario della prima fotografia del Telo.,109,18,1,45.11,45.11
145,"Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",67,16,1,65.88,65.88
146,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.67,63.67
147,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,69.91
148,In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.,143,30,1,51.33,51.33
149,Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.,115,22,1,50.36,50.36
150,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,47.67
151,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,69.0
152,In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.,89,15,1,49.67,49.67
153,Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.,52,13,1,72.08,72.08
154,"Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",212,39,1,42.33,42.33
155,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,44.0
156,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,68.0
157,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,53.44
158,Si può riconoscere la frattura del naso e un ematoma allo zigomo destro.,59,13,1,66.69,66.69
159,"Sulla fronte sono evidenti delle colature di sangue provocate da un casco di rami spinosi, come quello esposto a fianco.",99,20,1,54.5,54.5
160,"Secondo Pia, nato nel 1855 e morto nel 1941, fu uno dei più grandi fotografi dell’800.",56,16,1,72.75,72.75
161,In questa vetrina sono documentate le operazioni per la conservazione della Sìndone compiute nel giugno-luglio 2002.,95,16,1,48.38,48.38
162,Sul polso sinistro è visibile una colatura di sangue fuoriuscito da una ferita provocata dalla penetrazione di un chiodo.,102,19,1,51.11,51.11
163,"A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",219,35,1,35.0,35.0
164,Operazioni di conservazione anni 2000.,29,5,1,91.0,91.0
165,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,48.0
166,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,51.73
167,In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.,70,13,1,58.23,58.23
168," Alcuni segni sono dovuti a bruciature, cera e acqua.",42,9,1,75.67,75.67
169,"Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.",84,16,1,55.25,55.25
170,"Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.",69,12,1,56.5,56.5
171,"Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",72,15,1,61.0,61.0
172,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,85.0
173,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,50.54
174,Beato Sebastiano Valfrè.,21,3,1,119.0,100
175,San Francesco di Sales.,19,4,1,116.5,100
176,Papa Pio Ottavo.,13,3,1,145.67,100
177,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.",223,40,1,40.75,40.75
178,"Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",165,29,1,42.45,42.45
179,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,49.5
180,"Nella ricostruzione della storia della Sìndone, risultano per il momento ipotetici i passaggi da Gerusalemme a Edessa, oggi Sanliurfa in Turchia, e di qui a Costantinopoli e ad Atene in Grecia durante il periodo dell’Impero latino d’Oriente. ",199,37,1,43.32,43.32
181,"Mentre sono documentati con precisione quelli da Lirey, in  Francia, a Chambéry, in Savoia, e a Torino.",81,17,1,59.0,59.0
182,Nelle vetrine seguenti potrà seguire lo sviluppo di questi percorsi.,58,10,1,61.0,61.0
183,Due reliquiari settecenteschi contenenti un piccolo filo di Sìndone insieme ad altri contenenti stoffe venute a contatto con il sacro Telo.,118,21,1,47.1,47.1
184,"Nel 1506 il papa Giulio II concesse il culto pubblico della Sìndone, fissandone la memoria il 4 maggio e approvandone la messa e l’ufficio il cui testo in edizione seicentesca è esposto in questa vetrina.",162,35,1,51.29,51.29
185,"Nel 1453 l’ultima discendente di Geoffroy de Charny, Marguerite, cede la Sìndone ai Savoia.",70,14,1,60.43,60.43
186,"Relativamente al periodo più antico della storia della Sìndone, un’ipotesi che ancora oggi si sta studiando, identifica la Sìndone di Torino con il Mandylion di Edessa, un piccolo telo conosciuto sin dal IV secolo in Oriente contenente l’immagine, ritenuta impressa miracolosamente, del volto di Cristo.",251,45,1,39.89,39.89
187,Uno dei problemi storici su cui si incentra la ricerca riguarda le possibili vicende della Sìndone nel primo millennio.,100,19,1,52.16,52.16
188,"Se la Sìndone può essere identificata con il Mandylion di Edessa, allora essa sarebbe stata trasferita a Costantinopoli nel 944, e di qui, attraverso strade non chiarite, sarebbe giunta in Europa.",158,31,1,47.71,47.71
189,In questa vetrina sono esposti alcuni oggetti e documenti che potrebbero sostenere questa tesi.,81,14,1,52.57,52.57
190,"Nel 1578 Emanuele Filiberto di Savoia, dopo avere spostato il centro politico e amministrativo dello Stato da Chambéry a Torino, volle anche portare il palladio religioso della dinastia, la Sìndone.",161,30,1,45.33,45.33
191,"Il Telo compì il viaggio ripiegato più volte, dentro questa piccola cassa di legno, che anticamente doveva essere ricoperta di scaglie preziose, forse madreperla e tartaruga.",145,26,1,44.77,44.77
192,"Con la concessione del culto ufficiale della Sìndone da parte del papa Giulio II nel 1506, che ne fissò la festa il giorno 4 di maggio, la notorietà e la devozione verso la reliquia crebbero, anche in conseguenza delle ostensioni periodiche celebrate a Chambéry.",210,44,1,48.09,48.09
193,Il 600 e il 700 sono i secoli nei quali maggiormente si sviluppa la devozione alla Sìndone.,68,17,1,66.65,66.65
194,Numerose sono le raffigurazioni che vengono fatte prodotte e fatte circolare.,66,11,1,56.27,56.27
195,"Nel 1735 terminava la costruzione della chiesa della Confratèrnita del Santissimo Sudario, sovrastante questa cripta.",97,15,1,44.33,44.33
196,Tra il 500 e il 600 sono stati scritti e pubblicati più di 100 testi interamente dedicati o che comunque trattano della Sìndone.,96,23,1,60.3,60.3
197,Dalla seconda metà del 700 le ostensioni iniziano a rarefarsi.,49,10,1,70.0,70.0
198,"Nell'800, dopo il regno di Carlo Felice, le ostensioni diventano ancora più rare, e solo per matrimoni dinastici.",88,18,1,56.78,56.78
199,La Sìndone non è l’unica immagine di Cristo ad essere stata oggetto di devozione in Europa a partire dal Medioevo.,93,20,1,57.5,57.5
200,"Dalla Veronica, al Mandylion, alla Sìndone di Besançon, nei secoli sono ricordate altre venerate immagini ritenute di Cristo.",104,18,1,47.89,47.89
